market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-BTC,2022-01-01T00:00:00,2022-01-01T09:00:00,56784000,58300000,48897000,51981000,1642429647652,4595029339646.024,85931.58653612,2022-01-01
KRW-BTC,2021-12-01T00:00:00,2021-12-01T09:00:00,70771000,72850000,56000000,56784000,1640995199765,15143014243952.412,245383.02275237,2021-12-01
KRW-BTC,2021-11-01T00:00:00,2021-11-01T09:00:00,72325000,82700000,68089000,70702000,1638316799869,17073237402599.33,229428.34169806,2021-11-01
KRW-BTC,2021-10-01T00:00:00,2021-10-01T09:00:00,53523000,81750000,53070000,72391000,1635724799706,19183054315712.01,270105.28140847,2021-10-01
KRW-BTC,2021-09-01T00:00:00,2021-09-01T09:00:00,55228000,61113000,49924000,53523000,1633046399133,13074991531261.695,235755.19447136,2021-09-01
KRW-BTC,2021-08-01T00:00:00,2021-08-01T09:00:00,47979000,58726000,43841000,55230000,1630454400065,16987453196557.166,317811.29721639,2021-08-01
KRW-BTC,2021-07-01T00:00:00,2021-07-01T09:00:00,40663000,48768000,34820000,47979000,1627776000096,8271118913721.062,203043.11451521,2021-07-01
KRW-BTC,2021-06-01T00:00:00,2021-06-01T09:00:00,43761000,47500000,33900000,40674000,1625097598678,16216579920362.09,393035.54437618,2021-06-01
KRW-BTC,2021-05-01T00:00:00,2021-05-01T09:00:00,67956000,73129000,39331000,43761000,1622505600201,27679914276946.324,492361.91541242,2021-05-01
KRW-BTC,2021-04-01T00:00:00,2021-04-01T09:00:00,71480000,81994000,54964000,67939000,1619827200332,23452727467091.23,330778.8256981,2021-04-01
KRW-BTC,2021-03-01T00:00:00,2021-03-01T09:00:00,51798000,72000000,51560000,71513000,1617235200416,19093071779649.9,298657.8894661,2021-03-01
KRW-BTC,2021-02-01T00:00:00,2021-02-01T09:00:00,36408000,65985000,35907000,51798000,1614556800388,19746448449659.047,382508.39154721,2021-02-01
KRW-BTC,2021-01-01T00:00:00,2021-01-01T09:00:00,32037000,48550000,31662000,36408000,1612137599674,19486632348247.703,502401.95083238,2021-01-01
KRW-BTC,2020-12-01T00:00:00,2020-12-01T09:00:00,21313000,32386000,19216000,32042000,1609459197349,5714537495798.291,225919.11576872,2020-12-01
KRW-BTC,2020-11-01T00:00:00,2020-11-01T09:00:00,15606000,21459000,15011000,21315000,1606780799969,3459984447735.395,183580.5023457,2020-11-01
KRW-BTC,2020-10-01T00:00:00,2020-10-01T09:00:00,12562000,15800000,12205000,15606000,1604188798238,1136673859454.5596,81936.15006869,2020-10-01
KRW-BTC,2020-09-01T00:00:00,2020-09-01T09:00:00,13733000,14097000,11860000,12558000,1601510377883,1213187151783.6584,95987.45136226,2020-09-01
KRW-BTC,2020-08-01T00:00:00,2020-08-01T09:00:00,13404000,14382000,12871000,13739000,1598918401350,2030225335109.9985,147985.32475413,2020-08-01
KRW-BTC,2020-07-01T00:00:00,2020-07-01T09:00:00,10903000,13580000,10700000,13416000,1596239998663,1020143920567.3933,86752.46083459,2020-07-01
KRW-BTC,2020-06-01T00:00:00,2020-06-01T09:00:00,11432000,12230000,10756000,10903000,1593561601838,947354527390.6284,82842.86826319,2020-06-01
KRW-BTC,2020-05-01T00:00:00,2020-05-01T09:00:00,10477000,12163000,10121000,11432000,1590969594783,2109939228782.646,188722.04592686,2020-05-01
KRW-BTC,2020-04-01T00:00:00,2020-04-01T09:00:00,7799000,11435000,7529000,10477000,1588291200393,1524309595907.389,171519.60064021,2020-04-01
KRW-BTC,2020-03-01T00:00:00,2020-03-01T09:00:00,10380000,10980000,5489000,7799000,1585699199936,2661304476282.0654,345309.78188922,2020-03-01
KRW-BTC,2020-02-01T00:00:00,2020-02-01T09:00:00,10781000,12044000,10306000,10374000,1583020800101,1608632370095.7415,141681.39512565,2020-02-01
KRW-BTC,2020-01-01T00:00:00,2020-01-01T09:00:00,8308000,10882000,7910000,10781000,1580515200123,1448009639610.1118,151081.46125133,2020-01-01
KRW-BTC,2019-12-01T00:00:00,2019-12-01T09:00:00,8838000,8996000,7546000,8312000,1577836799562,749631042779.4087,88753.43949787,2019-12-01
KRW-BTC,2019-11-01T00:00:00,2019-11-01T09:00:00,10698000,10996000,7683000,8838000,1575158386426,1142572317699.0076,121988.83863801,2019-11-01
KRW-BTC,2019-10-01T00:00:00,2019-10-01T09:00:00,9945000,11899000,8630000,10692000,1572566396750,1604730480108.4348,158003.54559607,2019-10-01
KRW-BTC,2019-09-01T00:00:00,2019-09-01T09:00:00,11612000,13014000,9268000,9945000,1569887998676,1748379097342.2788,152291.29161581,2019-09-01
KRW-BTC,2019-08-01T00:00:00,2019-08-01T09:00:00,11956000,14570000,11380000,11612000,1567295999820,3661279344006.8315,283765.53137123,2019-08-01
KRW-BTC,2019-07-01T00:00:00,2019-07-01T09:00:00,13599000,15537000,10880000,11957000,1564617599890,6321462071944.682,487170.94062848,2019-07-01
KRW-BTC,2019-06-01T00:00:00,2019-06-01T09:00:00,10383000,16840000,9172000,13598000,1561939201202,4981181503052.697,395517.38569837,2019-06-01
KRW-BTC,2019-05-01T00:00:00,2019-05-01T09:00:00,6117000,10815000,6107000,10383000,1559347198750,3225143397528.754,364387.76327154,2019-05-01
KRW-BTC,2019-04-01T00:00:00,2019-04-01T09:00:00,4661000,6566000,4621000,6117000,1556668799842,1666238307040.8777,286261.8481024,2019-04-01
KRW-BTC,2019-03-01T00:00:00,2019-03-01T09:00:00,4240000,4680000,4120000,4661000,1554076797634,971178898630.9796,220183.66257353,2019-03-01
KRW-BTC,2019-02-01T00:00:00,2019-02-01T09:00:00,3775000,4554000,3735000,4240000,1551398399461,613176329271.873,149447.01330811,2019-02-01
KRW-BTC,2019-01-01T00:00:00,2019-01-01T09:00:00,4200000,4577000,3730000,3775000,1548979197516,625565113869.71,152628.16488031,2019-01-01
KRW-BTC,2018-12-01T00:00:00,2018-12-01T09:00:00,4565000,4852000,3562000,4200000,1546300799298,1077286128289.1417,256196.68711434,2018-12-01
KRW-BTC,2018-11-01T00:00:00,2018-11-01T09:00:00,7162000,7348000,4126000,4565000,1543622399999,1119919084873.1338,202770.0644728,2018-11-01
KRW-BTC,2018-10-01T00:00:00,2018-10-01T09:00:00,7394000,7905000,7057000,7162000,1541030395761,746729084717.5271,101664.52766478,2018-10-01
KRW-BTC,2018-09-01T00:00:00,2018-09-01T09:00:00,7865000,8333000,7010000,7393000,1538351998003,751712331036.9186,100674.26100622,2018-09-01
KRW-BTC,2018-08-01T00:00:00,2018-08-01T09:00:00,8807000,8940000,6960000,7865000,1535759997980,1160146596428.6897,150764.1511383,2018-08-01
KRW-BTC,2018-07-01T00:00:00,2018-07-01T09:00:00,7164000,9578000,6941000,8800000,1533081602111,1496143560056.306,181398.01589799,2018-07-01
KRW-BTC,2018-06-01T00:00:00,2018-06-01T09:00:00,8278000,8490000,6590000,7164000,1530403203921,884389892618.8875,117782.95477841,2018-06-01
KRW-BTC,2018-05-01T00:00:00,2018-05-01T09:00:00,10135000,10963000,7813000,8282000,1527811206423,2607958006238.1025,272267.48145009,2018-05-01
KRW-BTC,2018-04-01T00:00:00,2018-04-01T09:00:00,7688000,10755000,7087000,10138000,1525132804146,4959892531222.687,573633.81153136,2018-04-01
KRW-BTC,2018-03-01T00:00:00,2018-03-01T09:00:00,11865000,12899000,7431000,7697000,1522540804153,5805373843215.382,575945.75756607,2018-03-01
KRW-BTC,2018-02-01T00:00:00,2018-02-01T09:00:00,11439000,14149000,6620000,11860000,1519862403088,8338553933032.581,780683.9588336,2018-02-01
KRW-BTC,2018-01-01T00:00:00,2018-01-01T09:00:00,19278000,28885000,10400000,11429000,1517443201774,20968342926307.7,1138495.89407868,2018-01-01
KRW-BTC,2017-12-01T00:00:00,2017-12-01T09:00:00,11935000,24967000,11201000,19280000,1514764800514,27132793421335.008,1423404.06885122,2017-12-01
KRW-BTC,2017-11-01T00:00:00,2017-11-01T09:00:00,7422000,13750000,6476000,11935000,1512086401121,3333919267614.687,332870.40658095,2017-11-01
KRW-BTC,2017-10-01T00:00:00,2017-10-01T09:00:00,4889000,7479000,4682000,7422000,1509494399256,28792318723.58634,4282.09567791,2017-10-01
KRW-BTC,2017-09-01T00:00:00,2017-09-01T09:00:00,4201000,4896000,4175000,4895000,1506815987704,1544805967.39643,347.48185656,2017-09-01
