주택유형,합계,단독주택,다가구주택,다세대주택,연립주택,아파트
2006년 01월,77173,6297,635,6474,2092,61675
2006년 02월,103718,9090,897,9659,3434,80638
2006년 03월,133120,12680,1377,14283,4438,100342
2006년 04월,118127,11993,1521,14854,4366,85393
2006년 05월,121835,13707,1768,16127,5043,85190
2006년 06월,108639,11629,1591,14038,4256,77125
2006년 07월,91636,10042,1290,12654,3671,63979
2006년 08월,83938,9478,1391,13415,3817,55837
2006년 09월,136359,12383,2018,20447,5568,95943
2006년 10월,148040,12704,2198,21889,5817,105432
2006년 11월,205939,17363,3611,31723,8968,144274
2006년 12월,166411,20084,3657,29982,7843,104845
2007년 01월,109960,10871,1896,18583,4619,73991
2007년 02월,86590,8432,1361,14988,3558,58251
2007년 03월,99084,9940,1458,16724,4640,66322
2007년 04월,99479,10410,1567,18090,4281,65131
2007년 05월,94320,10934,1519,17389,4219,60259
2007년 06월,85213,9271,1367,14469,3509,56597
2007년 07월,90062,9282,1387,14801,3713,60879
2007년 08월,89681,8871,1247,14422,3361,61780
2007년 09월,76512,7353,1169,12583,2781,52626
2007년 10월,110097,10507,1665,18478,4142,75305
2007년 11월,108367,10481,1684,17382,3899,74921
2007년 12월,99209,9240,1444,15133,3460,69932
2008년 01월,97918,8217,1272,13397,3166,71866
2008년 02월,92265,7531,1161,13542,3247,66784
2008년 03월,117767,10155,1542,19455,4360,82255
2008년 04월,136489,12060,2112,26755,5551,90011
2008년 05월,119724,11957,2038,23350,4962,77417
2008년 06월,116040,11220,1999,21252,4485,77084
2008년 07월,116765,11050,1851,20758,4422,78684
2008년 08월,85312,8556,1273,13582,2988,58913
2008년 09월,81421,7989,1021,12265,2671,57475
2008년 10월,85877,8441,912,11924,2527,62073
2008년 11월,65921,6524,696,8046,2090,48565
2008년 12월,64243,6418,613,8127,1657,47428
2009년 01월,53509,4837,384,4826,1364,42098
2009년 02월,71073,6486,533,5983,1628,56443
2009년 03월,89856,7624,717,8471,2048,70996
2009년 04월,92816,8228,907,9867,2461,71353
2009년 05월,88415,8841,1024,10194,2593,65763
2009년 06월,101414,9811,1281,12216,2983,75123
2009년 07월,106506,10014,1450,12678,2937,79427
2009년 08월,101572,9415,1265,11631,2916,76345
2009년 09월,115158,10446,1600,13975,3359,85778
2009년 10월,112402,10449,1652,14722,3271,82308
2009년 11월,99457,9828,1488,12662,2932,72547
2009년 12월,101459,10007,1348,11825,3065,75214
2010년 01월,73619,6805,911,7658,2231,56014
2010년 02월,80559,6997,926,8393,2179,62064
2010년 03월,99236,9704,1235,11566,2836,73895
2010년 04월,93447,9605,1195,12289,2802,67556
2010년 05월,78434,9194,1092,10372,2341,55435
2010년 06월,79734,8898,1089,9743,2153,57851
2010년 07월,75290,8409,958,8532,1944,55447
2010년 08월,70010,8208,917,7319,1822,51744
2010년 09월,68770,6684,818,6925,1793,52550
2010년 10월,87090,8565,976,9311,2301,65937
2010년 11월,102838,9707,1242,10855,2768,78266
2010년 12월,128202,11380,942,13189,3313,99378
2011년 01월,90040,7586,370,8648,2130,71306
2011년 02월,92944,7927,387,8727,2245,73658
2011년 03월,119738,10432,1969,13108,3144,91085
2011년 04월,111940,10938,2483,14424,3402,80693
2011년 05월,102615,11190,2763,12869,3062,72731
2011년 06월,98554,11034,2613,12406,3108,69393
2011년 07월,93896,9830,2201,10471,2812,68582
2011년 08월,95348,10282,2095,10822,2774,69375
2011년 09월,91067,9506,2061,11418,2672,65410
2011년 10월,98057,10082,2122,12537,3081,70235
2011년 11월,100502,10483,2412,12540,3074,71993
2011년 12월,136692,12379,3460,15427,3804,101622
2012년 01월,50645,5522,877,5976,1219,37051
2012년 02월,74511,7972,1354,9028,2246,53911
2012년 03월,88366,9232,1891,11753,2766,62724
2012년 04월,86916,9599,2115,12605,2715,59882
2012년 05월,88647,10091,2101,12193,2842,61420
2012년 06월,75642,8872,1949,10775,2531,51515
2012년 07월,78401,9080,1896,10252,2280,54893
2012년 08월,71020,8332,1547,9021,2022,50098
2012년 09월,62021,6648,1226,7996,1812,44339
2012년 10월,92656,9854,1981,11893,2670,66258
2012년 11월,97820,9561,2025,12326,3075,70833
2012년 12월,137361,10964,3026,15941,3640,103790
2013년 01월,54632,5827,1291,6345,1692,39477
2013년 02월,65640,6234,1116,7813,1885,48592
2013년 03월,87563,9173,1664,11164,2628,62934
2013년 04월,106498,10560,2233,13507,3116,77082
2013년 05월,120393,11072,2482,14053,3187,89599
2013년 06월,160468,14129,4163,18460,4221,119495
2013년 07월,74944,7904,1170,8705,1823,55342
2013년 08월,73984,7703,1298,9539,2054,53390
2013년 09월,76562,7535,1608,9715,2140,55564
2013년 10월,120141,10511,2372,14392,2911,89955
2013년 11월,114525,9459,2314,13782,2995,85975
2013년 12월,131929,10426,2759,16339,3345,99060
2014년 01월,95708,7964,2021,9883,2270,73570
2014년 02월,113216,9254,2224,12363,2708,86667
2014년 03월,122979,11140,2581,15025,3442,90791
2014년 04월,126077,11931,2833,17010,3597,90706
2014년 05월,108678,11537,2646,15102,3129,76264
2014년 06월,106410,10902,2714,13975,2818,76001
2014년 07월,115734,11632,2755,13354,2981,85012
2014년 08월,114216,10527,2450,12568,2715,85956
2014년 09월,123879,10696,2699,14029,3142,93313
2014년 10월,153099,12727,3386,18126,3937,114923
2014년 11월,129566,11041,3114,16337,3298,95776
2014년 12월,137561,11667,3344,17100,3134,102316
2015년 01월,118410,9540,2631,13517,2716,90006
2015년 02월,112865,8793,2229,13069,3257,85517
2015년 03월,158097,13115,3529,21307,4124,116022
2015년 04월,168330,14011,3927,24303,4549,121540
2015년 05월,153223,14767,3493,21838,4177,108948
2015년 06월,155581,15865,4036,22958,4766,107956
2015년 07월,161728,15581,4032,23255,4250,114610
2015년 08월,134996,13691,3396,20216,3949,93744
2015년 09월,126954,12445,3298,19662,3467,88082
2015년 10월,149610,15225,3616,22884,4320,103565
2015년 11월,143592,13903,3303,20923,4063,101400
2015년 12월,137409,13986,3366,20996,4587,94474
2016년 01월,106955,10359,2441,15184,2980,75991
2016년 02월,95751,9553,2128,14606,2664,66800
2016년 03월,124125,12484,2738,19465,3982,85456
2016년 04월,128655,12825,2986,21039,4306,87499
2016년 05월,134506,13867,3198,21841,4276,91324
2016년 06월,141611,13538,3335,22601,4240,97897
2016년 07월,141740,12871,3500,21952,3607,99810
2016년 08월,149750,13669,3590,23908,3881,104702
2016년 09월,138348,11704,3271,21109,3729,98535
2016년 10월,162623,13626,3523,24257,4339,116878
2016년 11월,157142,13922,3624,24182,4196,111218
2016년 12월,142826,13363,3238,23560,4028,98637
2017년 01월,104599,9921,1917,14952,2957,74852
2017년 02월,107785,11567,1194,16453,3803,74768
2017년 03월,134695,14054,1185,20641,4939,93876
2017년 04월,132659,13108,1143,20528,4124,93756
2017년 05월,149522,14803,1336,21527,4548,107308
2017년 06월,165335,15795,1394,22981,4607,120558
2017년 07월,174784,15211,1341,22707,5364,130161
2017년 08월,190186,15500,1272,22709,4424,146281
2017년 09월,162747,13902,1169,20480,4275,122921
2017년 10월,131443,11887,821,16253,3548,98934
2017년 11월,154030,13649,965,18861,4143,116412
2017년 12월,151876,13276,975,19523,3778,114324
2018년 01월,166913,12103,717,16525,3256,134312
2018년 02월,141765,10330,608,14415,3049,113363
2018년 03월,176910,15731,1011,20430,4008,135730
2018년 04월,135798,13399,826,16733,3313,101527
2018년 05월,138016,13840,816,16449,3762,103149
2018년 06월,136178,12642,728,15045,3554,104209
2018년 07월,141662,12831,721,16304,3406,108400
2018년 08월,133745,11813,747,15658,3120,102407
2018년 09월,139996,10359,630,15014,3305,110688
2018년 10월,161833,13608,1272,18719,3537,124697
2018년 11월,130214,11026,1707,16165,3199,98117
2018년 12월,116201,10915,1797,15973,2774,84742
2019년 01월,118587,9747,1530,12905,2537,91868
2019년 02월,100351,8385,1242,9899,2000,78825
2019년 03월,118420,10326,1539,13296,2539,90720
2019년 04월,119579,11040,1774,13852,2936,89977
2019년 05월,111852,10741,1779,14025,2809,82498
2019년 06월,108640,9224,1658,13016,2623,82119
2019년 07월,134954,10650,1821,15344,2840,104299
2019년 08월,135724,9672,1684,13889,2904,107575
2019년 09월,128772,8936,1569,12892,2898,102477
2019년 10월,148276,10767,1872,15504,3376,116757
2019년 11월,156846,11237,2119,16407,3685,123398
2019년 12월,187497,13037,2678,20267,4367,147148
2020년 01월,169836,10791,2136,16214,3570,137125
2020년 02월,187459,12090,2250,16738,3839,152542
2020년 03월,160156,11994,2420,17969,4052,123721
2020년 04월,114636,10989,1895,15298,3442,83012
2020년 05월,136211,12112,2028,15691,3849,102531
2020년 06월,202351,14557,2830,21548,5068,158348
2020년 07월,223118,17363,3350,24312,4872,173221
2020년 08월,141478,12655,2093,16194,3567,106969
2020년 09월,145100,10884,1828,15345,3199,113844
2020년 10월,148190,11892,1868,16699,3965,113766
2020년 11월,174634,13694,2281,16492,4230,137937
2020년 12월,218696,16762,2627,21341,5607,172359
2021년 01월,147062,10858,1756,17156,4020,113272
2021년 02월,141764,10576,1800,18302,3967,107119
2021년 03월,147786,14988,2146,20767,4422,105463
2021년 04월,155907,15280,2396,22725,4314,111192
2021년 05월,154949,15061,2548,22387,5132,109821
2021년 06월,144759,12658,2155,20782,3662,105502
2021년 07월,140102,11910,1933,19516,3958,102785
2021년 08월,133495,11705,1766,18129,3617,98278
2021년 09월,122333,10451,1800,17396,3187,89499
2021년 10월,119686,11055,1665,17395,3809,85762
2021년 11월,111172,11283,1812,16345,3391,78341